field1,field2,field3,field4,field5,_GC_TYPE,_CLEANADDR,_X,_Y
217,대학로,서울,종로구,서울 종로구 명륜동4가 113-1,대,서울특별시 종로구 명륜1가,126.99768693916286,37.588950811538204
209,불광1동,서울,은평구,서울 은평구 불광동 554-1 라비앙프라자1층 101호,정,서울특별시 은평구 불광동 554-1,126.93210616965933,37.61237919577443
211,역촌1호,서울,은평구,서울 은평구 역촌동 55-1,정,서울특별시 은평구 역촌동 55-1,126.91114068551586,37.605351930272775
213,은평뉴타운,서울,은평구,서울 은평구 진관동 22 은평뉴타운상가 914-103호,정,서울특별시 은평구 진관동 22 914동,126.92124210935395,37.64255465979443
215,응암오거리,서울,은평구,서울 은평구 응암동 595-51,정,서울특별시 은평구 응암동 595-51,126.91479586360207,37.587484131470866
221,평창,서울,종로구,서울 종로구 평창동 158-1,정,서울특별시 종로구 평창동 158-1,126.96919312487061,37.606850759327386
222,동대문1호,서울,중구,서울 중구 창신동 464-6,대,서울특별시 중구,126.99298333010267,37.557866613822455
235,감만,부산,남구,부산 남구 감만1동 158-6,정,부산광역시 남구 감만동 158-6,129.0812374494814,35.115395752223705
214,응암1동,서울,은평구,서울 은평구 응암동 236-33,정,서울특별시 은평구 응암동 236-33,126.92291910708511,37.593238417193334
233,중화,서울,중랑구,서울 중랑구 중화동 304-34,정,서울특별시 중랑구 중화동 304-34,127.07879582842982,37.59958056203975
216,증산(서울),서울,은평구,서울 은평구 증산동 209-18,정,서울특별시 은평구 증산동 209-18,126.90550209425517,37.58264634184251
219,안국,서울,종로구,서울 종로구 화동 138-7,정,서울특별시 종로구 화동 138-7,126.98254783618061,37.57931255444282
226,망우본동,서울,중랑구,서울 중랑구 망우동 149-7,정,서울특별시 중랑구 망우동 149-7,127.1055335731084,37.60038591589817
227,면목1호,서울,중랑구,서울 중랑구 면목본동 72-43,정,서울특별시 중랑구 면목동 72-43,127.09274842974389,37.58936727659604
225,약수,서울,중구,서울 중구 신당동 374-14,정,서울특별시 중구 신당동 374-14,127.01117551884082,37.55617970675426
232,신내1호,서울,중랑구,서울 중랑구 신내동 797,정,서울특별시 중랑구 신내동 797,127.09724932644585,37.60617719261408
223,서울시청,서울,중구,서울 중구 태평로2가 55,정,서울특별시 중구 태평로2가 55,126.97734927769476,37.56372394177386
224,신당1호,서울,중구,서울 중구 신당동 846,정,서울특별시 중구 신당동 846,127.0173300564963,37.56248373488042
236,개금1호,부산,부산진구,부산 부산진구 개금동 2-1,정,부산광역시 부산진구 개금동 2-1,129.0258034142382,35.161428459931386
229,묵동,서울,중랑구,서울 중랑구 묵동 175-2,정,서울특별시 중랑구 묵동 175-2,127.07759390388807,37.612550540093494
237,개금2호,부산,부산진구,부산 부산진구 개금1동 201-6,정,부산광역시 부산진구 개금동 201-6,129.02400737148827,35.15349715909597
230,사가정역,서울,중랑구,서울 중랑구 면목동 496-14,정,서울특별시 중랑구 면목동 496-14,127.08821365339693,37.5815152190088
250,다대1호,부산,사하구,부산 사하구 다대2동 85-5,정,부산광역시 사하구 다대동 85-5,128.98030864146034,35.06655191864148
228,면목2호,서울,중랑구,서울 중랑구 면목2동 191-126,정,서울특별시 중랑구 면목동 191-126,127.07365076139091,37.589684646661134
